eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
0,265.64374876750406,265.64374876750406,-1,1,-1,-1,0,1,-1,1
1,18.52194457337052,265.64374876750406,-1,1,-1,-1,0,1,-1,1
2,50.26521429308036,265.64374876750406,-1,1,-1,-1,0,1,-1,1
3,0.0,265.64374876750406,-1,1,-1,-1,0,1,-1,1
4,57.26533044426709,265.64374876750406,-1,1,-1,-1,0,1,-1,1
5,209.16211915138024,265.64374876750406,-1,1,-1,-1,0,1,-1,1
6,4.544048002052398,265.64374876750406,-1,1,-1,-1,0,1,-1,1
7,218.96912119723376,265.64374876750406,-1,1,-1,-1,0,1,-1,1
8,284.60774600664115,284.60774600664115,0,-1,-1,-1,1,0,1,-1
9,78.2343066816827,284.60774600664115,0,-1,-1,-1,1,0,1,-1
10,77.12220640606526,284.60774600664115,0,-1,-1,-1,1,0,1,-1
11,41.15172768981455,284.60774600664115,0,-1,-1,-1,1,0,1,-1
12,28.273179517069117,284.60774600664115,0,-1,-1,-1,1,0,1,-1
13,313.7531707999798,313.7531707999798,0,-1,-1,-1,0,1,-1,1
14,55.59637338477086,313.7531707999798,0,-1,-1,-1,0,1,-1,1
15,72.30206850568632,313.7531707999798,0,-1,-1,-1,0,1,-1,1
16,272.5829072301385,313.7531707999798,0,-1,-1,-1,0,1,-1,1
17,4.78726661369919,313.7531707999798,0,-1,-1,-1,0,1,-1,1
18,58.55975097831045,313.7531707999798,0,-1,-1,-1,0,1,-1,1
19,331.70295085322334,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
20,150.3072986850146,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
21,0.0,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
22,0.0,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
23,185.44659542779056,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
24,220.19401948317886,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
25,4.526552668193027,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
26,0.0,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
27,3.3787809577367907,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
28,35.69834910740253,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
29,44.42263866181344,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
30,0.0,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
31,230.52072667157282,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
32,276.44280688547576,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
33,0.0,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
34,33.78883718607824,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
35,224.3884382843728,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
36,47.91576816728445,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
37,0.0,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
38,0.0,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
39,104.6034112883575,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
40,185.74199707694027,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
41,40.984789455734806,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
42,0.0,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
43,39.89173015583513,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
44,258.3883396151591,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
45,43.425467075191705,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
46,36.78417049314498,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
47,43.979850382744594,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
48,57.46327069609562,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
49,50.2931412371875,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
50,0.0,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
51,53.29840315426729,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
52,66.70483908919627,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
53,0.0,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
54,8.34924586762143,331.70295085322334,-1,0,-1,-1,-1,1,0,-1
