eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
0,81.03932739748532,81.03932739748532,1,-1,-1,0,0,0,1,-1
1,264.43048998514024,264.43048998514024,1,-1,1,1,-1,0,-1,1
2,238.08320094688287,264.43048998514024,1,-1,1,1,-1,0,-1,1
3,44.76542219649901,264.43048998514024,1,-1,1,1,-1,0,-1,1
4,61.22550503682801,264.43048998514024,1,-1,1,1,-1,0,-1,1
5,0.0,264.43048998514024,1,-1,1,1,-1,0,-1,1
6,61.68912663241708,264.43048998514024,1,-1,1,1,-1,0,-1,1
7,32.87566174780988,264.43048998514024,1,-1,1,1,-1,0,-1,1
8,115.8989145935074,264.43048998514024,1,-1,1,1,-1,0,-1,1
9,72.2847627460125,264.43048998514024,1,-1,1,1,-1,0,-1,1
10,0.0,264.43048998514024,1,-1,1,1,-1,0,-1,1
11,223.94488504795254,264.43048998514024,1,-1,1,1,-1,0,-1,1
12,0.0,264.43048998514024,1,-1,1,1,-1,0,-1,1
13,0.0,264.43048998514024,1,-1,1,1,-1,0,-1,1
14,33.87330479049609,264.43048998514024,1,-1,1,1,-1,0,-1,1
15,50.59801785993573,264.43048998514024,1,-1,1,1,-1,0,-1,1
16,155.11131239776,264.43048998514024,1,-1,1,1,-1,0,-1,1
17,0.0,264.43048998514024,1,-1,1,1,-1,0,-1,1
18,0.0,264.43048998514024,1,-1,1,1,-1,0,-1,1
19,234.06638748631028,264.43048998514024,1,-1,1,1,-1,0,-1,1
20,166.10513067677937,264.43048998514024,1,-1,1,1,-1,0,-1,1
21,34.63750621309465,264.43048998514024,1,-1,1,1,-1,0,-1,1
22,33.39498852396271,264.43048998514024,1,-1,1,1,-1,0,-1,1
23,7.443196669143038,264.43048998514024,1,-1,1,1,-1,0,-1,1
24,0.0,264.43048998514024,1,-1,1,1,-1,0,-1,1
25,249.81289886626794,264.43048998514024,1,-1,1,1,-1,0,-1,1
26,286.82272805308173,286.82272805308173,0,0,1,0,-1,0,1,0
27,44.01401752824225,286.82272805308173,0,0,1,0,-1,0,1,0
28,0.0,286.82272805308173,0,0,1,0,-1,0,1,0
29,200.328483896283,286.82272805308173,0,0,1,0,-1,0,1,0
30,270.3594876615244,286.82272805308173,0,0,1,0,-1,0,1,0
31,32.56515840095113,286.82272805308173,0,0,1,0,-1,0,1,0
32,0.0,286.82272805308173,0,0,1,0,-1,0,1,0
33,37.489635629132046,286.82272805308173,0,0,1,0,-1,0,1,0
34,220.65596881150927,286.82272805308173,0,0,1,0,-1,0,1,0
35,0.0,286.82272805308173,0,0,1,0,-1,0,1,0
36,43.859030458562366,286.82272805308173,0,0,1,0,-1,0,1,0
37,40.617354864974686,286.82272805308173,0,0,1,0,-1,0,1,0
38,0.0,286.82272805308173,0,0,1,0,-1,0,1,0
39,272.8037404654958,286.82272805308173,0,0,1,0,-1,0,1,0
40,0.0,286.82272805308173,0,0,1,0,-1,0,1,0
41,0.6204723492956602,286.82272805308173,0,0,1,0,-1,0,1,0
42,0.0,286.82272805308173,0,0,1,0,-1,0,1,0
43,107.9424129485441,286.82272805308173,0,0,1,0,-1,0,1,0
44,256.5858681696535,286.82272805308173,0,0,1,0,-1,0,1,0
45,33.22158176059431,286.82272805308173,0,0,1,0,-1,0,1,0
46,38.40943582390166,286.82272805308173,0,0,1,0,-1,0,1,0
47,62.82615047811686,286.82272805308173,0,0,1,0,-1,0,1,0
48,220.89648578248045,286.82272805308173,0,0,1,0,-1,0,1,0
49,0.0,286.82272805308173,0,0,1,0,-1,0,1,0
50,19.772802577595535,286.82272805308173,0,0,1,0,-1,0,1,0
51,0.0,286.82272805308173,0,0,1,0,-1,0,1,0
52,42.80792353180274,286.82272805308173,0,0,1,0,-1,0,1,0
53,228.99747033493037,286.82272805308173,0,0,1,0,-1,0,1,0
54,78.44419806344396,286.82272805308173,0,0,1,0,-1,0,1,0
55,116.25734470929378,286.82272805308173,0,0,1,0,-1,0,1,0
56,61.59834342615126,286.82272805308173,0,0,1,0,-1,0,1,0
57,203.043303443652,286.82272805308173,0,0,1,0,-1,0,1,0
58,213.8552462907169,286.82272805308173,0,0,1,0,-1,0,1,0
59,39.149000719143025,286.82272805308173,0,0,1,0,-1,0,1,0
60,684.7075538904705,684.7075538904705,1,0,0,0,-1,1,1,-1
61,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
62,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
63,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
64,230.669499531749,684.7075538904705,1,0,0,0,-1,1,1,-1
65,197.05769865318894,684.7075538904705,1,0,0,0,-1,1,1,-1
66,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
67,49.24441409512671,684.7075538904705,1,0,0,0,-1,1,1,-1
68,244.64756452120844,684.7075538904705,1,0,0,0,-1,1,1,-1
69,82.49518529018967,684.7075538904705,1,0,0,0,-1,1,1,-1
70,0.9038541016258583,684.7075538904705,1,0,0,0,-1,1,1,-1
71,46.95184159522954,684.7075538904705,1,0,0,0,-1,1,1,-1
72,36.84402703808293,684.7075538904705,1,0,0,0,-1,1,1,-1
73,205.17475710658198,684.7075538904705,1,0,0,0,-1,1,1,-1
74,34.139889846208845,684.7075538904705,1,0,0,0,-1,1,1,-1
75,219.5288902493299,684.7075538904705,1,0,0,0,-1,1,1,-1
76,49.64463867119133,684.7075538904705,1,0,0,0,-1,1,1,-1
77,5.328313130983436,684.7075538904705,1,0,0,0,-1,1,1,-1
78,46.619654206469576,684.7075538904705,1,0,0,0,-1,1,1,-1
79,78.60932554125164,684.7075538904705,1,0,0,0,-1,1,1,-1
80,225.84817242982643,684.7075538904705,1,0,0,0,-1,1,1,-1
81,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
82,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
83,32.15410074969644,684.7075538904705,1,0,0,0,-1,1,1,-1
84,41.12608442161128,684.7075538904705,1,0,0,0,-1,1,1,-1
85,260.9336681539982,684.7075538904705,1,0,0,0,-1,1,1,-1
86,1.2193673156579785,684.7075538904705,1,0,0,0,-1,1,1,-1
87,104.1053495692712,684.7075538904705,1,0,0,0,-1,1,1,-1
88,252.87815711554225,684.7075538904705,1,0,0,0,-1,1,1,-1
89,290.68145950652377,684.7075538904705,1,0,0,0,-1,1,1,-1
90,227.91969877572132,684.7075538904705,1,0,0,0,-1,1,1,-1
91,31.69094022320543,684.7075538904705,1,0,0,0,-1,1,1,-1
92,245.08505558247055,684.7075538904705,1,0,0,0,-1,1,1,-1
93,75.39165071100493,684.7075538904705,1,0,0,0,-1,1,1,-1
94,251.78480071558093,684.7075538904705,1,0,0,0,-1,1,1,-1
95,212.8961900062971,684.7075538904705,1,0,0,0,-1,1,1,-1
96,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
97,220.89156901785327,684.7075538904705,1,0,0,0,-1,1,1,-1
98,51.02680844903622,684.7075538904705,1,0,0,0,-1,1,1,-1
99,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
100,295.77479958319117,684.7075538904705,1,0,0,0,-1,1,1,-1
101,100.62818503775729,684.7075538904705,1,0,0,0,-1,1,1,-1
102,50.82991322891485,684.7075538904705,1,0,0,0,-1,1,1,-1
103,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
104,33.46865387080407,684.7075538904705,1,0,0,0,-1,1,1,-1
105,38.32501708267816,684.7075538904705,1,0,0,0,-1,1,1,-1
106,55.9578872636867,684.7075538904705,1,0,0,0,-1,1,1,-1
107,7.759050648055343,684.7075538904705,1,0,0,0,-1,1,1,-1
108,12.159153113090573,684.7075538904705,1,0,0,0,-1,1,1,-1
109,31.240375015782547,684.7075538904705,1,0,0,0,-1,1,1,-1
110,6.36409409957604,684.7075538904705,1,0,0,0,-1,1,1,-1
111,74.23012366583791,684.7075538904705,1,0,0,0,-1,1,1,-1
112,253.43785602143308,684.7075538904705,1,0,0,0,-1,1,1,-1
113,81.49057468726673,684.7075538904705,1,0,0,0,-1,1,1,-1
114,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
115,274.7272653819067,684.7075538904705,1,0,0,0,-1,1,1,-1
116,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
117,158.19923819102115,684.7075538904705,1,0,0,0,-1,1,1,-1
118,48.858603952688554,684.7075538904705,1,0,0,0,-1,1,1,-1
119,160.88231473495418,684.7075538904705,1,0,0,0,-1,1,1,-1
120,265.0300566978354,684.7075538904705,1,0,0,0,-1,1,1,-1
121,33.28300541456568,684.7075538904705,1,0,0,0,-1,1,1,-1
122,293.023667559385,684.7075538904705,1,0,0,0,-1,1,1,-1
123,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
124,61.697765124852296,684.7075538904705,1,0,0,0,-1,1,1,-1
125,356.59207363618276,684.7075538904705,1,0,0,0,-1,1,1,-1
126,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
127,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
128,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
129,52.703165169829035,684.7075538904705,1,0,0,0,-1,1,1,-1
130,127.90746702746841,684.7075538904705,1,0,0,0,-1,1,1,-1
131,4.696040738006905,684.7075538904705,1,0,0,0,-1,1,1,-1
132,218.79414539928666,684.7075538904705,1,0,0,0,-1,1,1,-1
133,55.90944417611311,684.7075538904705,1,0,0,0,-1,1,1,-1
134,61.28994015726674,684.7075538904705,1,0,0,0,-1,1,1,-1
135,53.73295669908342,684.7075538904705,1,0,0,0,-1,1,1,-1
136,78.76006399129784,684.7075538904705,1,0,0,0,-1,1,1,-1
137,106.29592624321798,684.7075538904705,1,0,0,0,-1,1,1,-1
138,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
139,35.27128423292547,684.7075538904705,1,0,0,0,-1,1,1,-1
140,214.40290578771976,684.7075538904705,1,0,0,0,-1,1,1,-1
141,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
142,590.4166759347693,684.7075538904705,1,0,0,0,-1,1,1,-1
143,212.96931400095548,684.7075538904705,1,0,0,0,-1,1,1,-1
144,221.15877290741264,684.7075538904705,1,0,0,0,-1,1,1,-1
145,248.2330148682384,684.7075538904705,1,0,0,0,-1,1,1,-1
146,25.474274682775714,684.7075538904705,1,0,0,0,-1,1,1,-1
147,56.65769247411026,684.7075538904705,1,0,0,0,-1,1,1,-1
148,270.9548283355324,684.7075538904705,1,0,0,0,-1,1,1,-1
149,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
150,48.31031486580133,684.7075538904705,1,0,0,0,-1,1,1,-1
151,32.688793621463645,684.7075538904705,1,0,0,0,-1,1,1,-1
152,153.0153431559339,684.7075538904705,1,0,0,0,-1,1,1,-1
153,33.37008810198174,684.7075538904705,1,0,0,0,-1,1,1,-1
154,0.0,684.7075538904705,1,0,0,0,-1,1,1,-1
155,139.53369319739872,684.7075538904705,1,0,0,0,-1,1,1,-1
