eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
0,47.65055181934026,47.65055181934026,1,1,1,0,-1,0,-1,0
1,32.87566174780987,47.65055181934026,1,1,1,0,-1,0,-1,0
2,85.66402342376529,85.66402342376529,-1,0,-1,-1,0,1,0,-1
3,0.0,85.66402342376529,-1,0,-1,-1,0,1,0,-1
4,0.0,85.66402342376529,-1,0,-1,-1,0,1,0,-1
5,100.49640465930915,100.49640465930915,1,1,0,1,-1,1,0,1
6,42.843515367492266,100.49640465930915,1,1,0,1,-1,1,0,1
7,112.79122686887055,112.79122686887055,1,-1,-1,-1,1,-1,0,0
8,238.62086014743062,238.62086014743062,-1,0,-1,0,0,1,1,-1
9,49.35289087306961,238.62086014743062,-1,0,-1,0,0,1,1,-1
10,0.0,238.62086014743062,-1,0,-1,0,0,1,1,-1
11,243.2856364532742,243.2856364532742,0,1,1,1,-1,1,0,-1
12,0.0,243.2856364532742,0,1,1,1,-1,1,0,-1
13,191.9440695649766,243.2856364532742,0,1,1,1,-1,1,0,-1
14,228.52602407735802,243.2856364532742,0,1,1,1,-1,1,0,-1
15,72.35144481579756,243.2856364532742,0,1,1,1,-1,1,0,-1
16,6.822580811783765,243.2856364532742,0,1,1,1,-1,1,0,-1
17,79.92154919393934,243.2856364532742,0,1,1,1,-1,1,0,-1
18,41.481664486903476,243.2856364532742,0,1,1,1,-1,1,0,-1
19,0.0,243.2856364532742,0,1,1,1,-1,1,0,-1
20,4.620469660364964,243.2856364532742,0,1,1,1,-1,1,0,-1
21,45.19273713464787,243.2856364532742,0,1,1,1,-1,1,0,-1
22,81.23076538061727,243.2856364532742,0,1,1,1,-1,1,0,-1
23,72.86368857187894,243.2856364532742,0,1,1,1,-1,1,0,-1
24,150.1728578646103,243.2856364532742,0,1,1,1,-1,1,0,-1
25,44.054770641940145,243.2856364532742,0,1,1,1,-1,1,0,-1
26,79.31411159989862,243.2856364532742,0,1,1,1,-1,1,0,-1
27,0.0,243.2856364532742,0,1,1,1,-1,1,0,-1
28,792.5567877155937,792.5567877155937,0,1,1,1,-1,1,1,-1
29,215.50398491989077,792.5567877155937,0,1,1,1,-1,1,1,-1
30,263.1646849983966,792.5567877155937,0,1,1,1,-1,1,1,-1
31,0.0,792.5567877155937,0,1,1,1,-1,1,1,-1
32,744.0944743377365,792.5567877155937,0,1,1,1,-1,1,1,-1
33,206.65459975147877,792.5567877155937,0,1,1,1,-1,1,1,-1
34,56.649251300448,792.5567877155937,0,1,1,1,-1,1,1,-1
35,0.0,792.5567877155937,0,1,1,1,-1,1,1,-1
36,48.74202598116901,792.5567877155937,0,1,1,1,-1,1,1,-1
37,119.20617956186788,792.5567877155937,0,1,1,1,-1,1,1,-1
38,51.09346174401838,792.5567877155937,0,1,1,1,-1,1,1,-1
39,103.4042545170576,792.5567877155937,0,1,1,1,-1,1,1,-1
40,35.250544177596325,792.5567877155937,0,1,1,1,-1,1,1,-1
41,4.132641459485925,792.5567877155937,0,1,1,1,-1,1,1,-1
42,0.0,792.5567877155937,0,1,1,1,-1,1,1,-1
43,32.30562710781486,792.5567877155937,0,1,1,1,-1,1,1,-1
44,289.55058893249026,792.5567877155937,0,1,1,1,-1,1,1,-1
45,39.24990257788325,792.5567877155937,0,1,1,1,-1,1,1,-1
46,298.99456506229046,792.5567877155937,0,1,1,1,-1,1,1,-1
47,166.53562913558687,792.5567877155937,0,1,1,1,-1,1,1,-1
48,0.0,792.5567877155937,0,1,1,1,-1,1,1,-1
49,166.61566955731257,792.5567877155937,0,1,1,1,-1,1,1,-1
50,41.49123202341111,792.5567877155937,0,1,1,1,-1,1,1,-1
51,102.28993163021298,792.5567877155937,0,1,1,1,-1,1,1,-1
52,267.0222750357452,792.5567877155937,0,1,1,1,-1,1,1,-1
53,248.48992242575298,792.5567877155937,0,1,1,1,-1,1,1,-1
54,264.05337302872454,792.5567877155937,0,1,1,1,-1,1,1,-1
55,0.0,792.5567877155937,0,1,1,1,-1,1,1,-1
56,121.92621105304103,792.5567877155937,0,1,1,1,-1,1,1,-1
57,4.677511429804636,792.5567877155937,0,1,1,1,-1,1,1,-1
58,8.056052441659222,792.5567877155937,0,1,1,1,-1,1,1,-1
59,54.39106172095227,792.5567877155937,0,1,1,1,-1,1,1,-1
60,0.0,792.5567877155937,0,1,1,1,-1,1,1,-1
61,136.90592358409637,792.5567877155937,0,1,1,1,-1,1,1,-1
62,0.0,792.5567877155937,0,1,1,1,-1,1,1,-1
63,38.60688644005694,792.5567877155937,0,1,1,1,-1,1,1,-1
64,271.494532356309,792.5567877155937,0,1,1,1,-1,1,1,-1
65,0.0,792.5567877155937,0,1,1,1,-1,1,1,-1
