eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
0,22.488638054531584,22.488638054531584,1,0,-1,1,1,-1,-1,0
1,55.92680375418174,55.92680375418174,0,1,1,1,0,-1,0,1
2,48.17715765916289,55.92680375418174,0,1,1,1,0,-1,0,1
3,232.24251965442636,232.24251965442636,0,-1,-1,0,0,-1,1,1
4,106.15969998588186,232.24251965442636,0,-1,-1,0,0,-1,1,1
5,31.13330109388868,232.24251965442636,0,-1,-1,0,0,-1,1,1
6,36.55551766097044,232.24251965442636,0,-1,-1,0,0,-1,1,1
7,0.0,232.24251965442636,0,-1,-1,0,0,-1,1,1
8,234.04533378476202,234.04533378476202,-1,0,-1,1,0,1,0,0
9,262.94922965306534,262.94922965306534,1,0,0,0,-1,1,0,0
10,41.61408591477345,262.94922965306534,1,0,0,0,-1,1,0,0
11,175.6588693018894,262.94922965306534,1,0,0,0,-1,1,0,0
12,205.28062906406896,262.94922965306534,1,0,0,0,-1,1,0,0
13,206.5178347057647,262.94922965306534,1,0,0,0,-1,1,0,0
14,81.36884801818809,262.94922965306534,1,0,0,0,-1,1,0,0
15,7.36606614410932,262.94922965306534,1,0,0,0,-1,1,0,0
16,33.31234298890599,262.94922965306534,1,0,0,0,-1,1,0,0
17,305.34460885590244,305.34460885590244,0,0,-1,-1,0,-1,1,-1
18,139.1973983639556,305.34460885590244,0,0,-1,-1,0,-1,1,-1
19,139.2919055029881,305.34460885590244,0,0,-1,-1,0,-1,1,-1
20,0.0,305.34460885590244,0,0,-1,-1,0,-1,1,-1
21,47.14408203408439,305.34460885590244,0,0,-1,-1,0,-1,1,-1
22,0.0,305.34460885590244,0,0,-1,-1,0,-1,1,-1
23,0.0,305.34460885590244,0,0,-1,-1,0,-1,1,-1
24,140.0605755557333,305.34460885590244,0,0,-1,-1,0,-1,1,-1
25,34.77322444777361,305.34460885590244,0,0,-1,-1,0,-1,1,-1
26,275.26372339190436,305.34460885590244,0,0,-1,-1,0,-1,1,-1
27,35.09403501093609,305.34460885590244,0,0,-1,-1,0,-1,1,-1
28,41.19082398808604,305.34460885590244,0,0,-1,-1,0,-1,1,-1
29,274.6696838931593,305.34460885590244,0,0,-1,-1,0,-1,1,-1
30,47.3282401599167,305.34460885590244,0,0,-1,-1,0,-1,1,-1
31,4.529880455217603,305.34460885590244,0,0,-1,-1,0,-1,1,-1
32,58.086075638047895,305.34460885590244,0,0,-1,-1,0,-1,1,-1
33,34.36050904583579,305.34460885590244,0,0,-1,-1,0,-1,1,-1
34,68.54347403601875,305.34460885590244,0,0,-1,-1,0,-1,1,-1
35,37.13777077372275,305.34460885590244,0,0,-1,-1,0,-1,1,-1
36,257.8691312755261,305.34460885590244,0,0,-1,-1,0,-1,1,-1
37,0.0,305.34460885590244,0,0,-1,-1,0,-1,1,-1
38,41.55212910798219,305.34460885590244,0,0,-1,-1,0,-1,1,-1
39,61.697765124852324,305.34460885590244,0,0,-1,-1,0,-1,1,-1
40,33.9031700020295,305.34460885590244,0,0,-1,-1,0,-1,1,-1
41,300.05566866839143,305.34460885590244,0,0,-1,-1,0,-1,1,-1
42,44.16047008517155,305.34460885590244,0,0,-1,-1,0,-1,1,-1
43,19.7993074715819,305.34460885590244,0,0,-1,-1,0,-1,1,-1
44,8.600536659862113,305.34460885590244,0,0,-1,-1,0,-1,1,-1
45,39.802190147469155,305.34460885590244,0,0,-1,-1,0,-1,1,-1
46,180.44888617622303,305.34460885590244,0,0,-1,-1,0,-1,1,-1
47,53.732956699083346,305.34460885590244,0,0,-1,-1,0,-1,1,-1
48,95.37612273786587,305.34460885590244,0,0,-1,-1,0,-1,1,-1
49,32.90725659940858,305.34460885590244,0,0,-1,-1,0,-1,1,-1
50,49.54718656687625,305.34460885590244,0,0,-1,-1,0,-1,1,-1
51,40.62586199823073,305.34460885590244,0,0,-1,-1,0,-1,1,-1
52,309.19341267359243,309.19341267359243,-1,1,-1,-1,0,1,-1,1
53,84.99427577674393,309.19341267359243,-1,1,-1,-1,0,1,-1,1
54,0.0,309.19341267359243,-1,1,-1,-1,0,1,-1,1
55,33.09104260401174,309.19341267359243,-1,1,-1,-1,0,1,-1,1
56,54.23907136291546,309.19341267359243,-1,1,-1,-1,0,1,-1,1
57,81.20060030006788,309.19341267359243,-1,1,-1,-1,0,1,-1,1
58,207.09667258674773,309.19341267359243,-1,1,-1,-1,0,1,-1,1
59,6.995678483571456,309.19341267359243,-1,1,-1,-1,0,1,-1,1
60,210.03017716098253,309.19341267359243,-1,1,-1,-1,0,1,-1,1
61,206.72140256349434,309.19341267359243,-1,1,-1,-1,0,1,-1,1
62,0.0,309.19341267359243,-1,1,-1,-1,0,1,-1,1
63,6.2173979042081475,309.19341267359243,-1,1,-1,-1,0,1,-1,1
64,0.0,309.19341267359243,-1,1,-1,-1,0,1,-1,1
65,0.0,309.19341267359243,-1,1,-1,-1,0,1,-1,1
66,25.873412949740825,309.19341267359243,-1,1,-1,-1,0,1,-1,1
67,32.87566174780988,309.19341267359243,-1,1,-1,-1,0,1,-1,1
68,4.53898321036039,309.19341267359243,-1,1,-1,-1,0,1,-1,1
69,236.29264414154346,309.19341267359243,-1,1,-1,-1,0,1,-1,1
70,75.60560084806279,309.19341267359243,-1,1,-1,-1,0,1,-1,1
71,111.02650006798709,309.19341267359243,-1,1,-1,-1,0,1,-1,1
72,54.74007364407629,309.19341267359243,-1,1,-1,-1,0,1,-1,1
73,57.771487394551485,309.19341267359243,-1,1,-1,-1,0,1,-1,1
74,52.91949551606744,309.19341267359243,-1,1,-1,-1,0,1,-1,1
75,271.3127385789708,309.19341267359243,-1,1,-1,-1,0,1,-1,1
76,0.0,309.19341267359243,-1,1,-1,-1,0,1,-1,1
77,161.56757567113254,309.19341267359243,-1,1,-1,-1,0,1,-1,1
78,0.0,309.19341267359243,-1,1,-1,-1,0,1,-1,1
79,284.3818530729514,309.19341267359243,-1,1,-1,-1,0,1,-1,1
80,53.31159091690362,309.19341267359243,-1,1,-1,-1,0,1,-1,1
81,7.191214774909795,309.19341267359243,-1,1,-1,-1,0,1,-1,1
82,66.44933605400895,309.19341267359243,-1,1,-1,-1,0,1,-1,1
83,0.0,309.19341267359243,-1,1,-1,-1,0,1,-1,1
84,0.0,309.19341267359243,-1,1,-1,-1,0,1,-1,1
85,0.0,309.19341267359243,-1,1,-1,-1,0,1,-1,1
86,77.56047766924604,309.19341267359243,-1,1,-1,-1,0,1,-1,1
87,4.7340160953271075,309.19341267359243,-1,1,-1,-1,0,1,-1,1
88,42.31294957744929,309.19341267359243,-1,1,-1,-1,0,1,-1,1
89,71.24988948024124,309.19341267359243,-1,1,-1,-1,0,1,-1,1
90,208.42480763590075,309.19341267359243,-1,1,-1,-1,0,1,-1,1
91,1.3835942869418507,309.19341267359243,-1,1,-1,-1,0,1,-1,1
92,73.53616142384604,309.19341267359243,-1,1,-1,-1,0,1,-1,1
93,331.98418190574483,331.98418190574483,-1,-1,-1,0,0,0,0,-1
94,214.33140559521172,331.98418190574483,-1,-1,-1,0,0,0,0,-1
95,241.40864113915643,331.98418190574483,-1,-1,-1,0,0,0,0,-1
96,4.6448194466353385,331.98418190574483,-1,-1,-1,0,0,0,0,-1
97,0.0,331.98418190574483,-1,-1,-1,0,0,0,0,-1
98,46.06909109784769,331.98418190574483,-1,-1,-1,0,0,0,0,-1
99,0.0,331.98418190574483,-1,-1,-1,0,0,0,0,-1
100,181.72143962163386,331.98418190574483,-1,-1,-1,0,0,0,0,-1
101,0.0,331.98418190574483,-1,-1,-1,0,0,0,0,-1
102,207.3317787387749,331.98418190574483,-1,-1,-1,0,0,0,0,-1
103,218.8807194173723,331.98418190574483,-1,-1,-1,0,0,0,0,-1
104,39.37118697296879,331.98418190574483,-1,-1,-1,0,0,0,0,-1
105,39.71839910158935,331.98418190574483,-1,-1,-1,0,0,0,0,-1
106,269.9376684666536,331.98418190574483,-1,-1,-1,0,0,0,0,-1
107,0.0,331.98418190574483,-1,-1,-1,0,0,0,0,-1
108,284.06692177674176,331.98418190574483,-1,-1,-1,0,0,0,0,-1
109,0.9505560120305857,331.98418190574483,-1,-1,-1,0,0,0,0,-1
110,42.420041766788096,331.98418190574483,-1,-1,-1,0,0,0,0,-1
111,237.5542621156158,331.98418190574483,-1,-1,-1,0,0,0,0,-1
112,0.0,331.98418190574483,-1,-1,-1,0,0,0,0,-1
113,0.0,331.98418190574483,-1,-1,-1,0,0,0,0,-1
114,4.71391730730984,331.98418190574483,-1,-1,-1,0,0,0,0,-1
115,238.61529656319513,331.98418190574483,-1,-1,-1,0,0,0,0,-1
116,247.3316530672532,331.98418190574483,-1,-1,-1,0,0,0,0,-1
117,209.9883549982938,331.98418190574483,-1,-1,-1,0,0,0,0,-1
118,0.0,331.98418190574483,-1,-1,-1,0,0,0,0,-1
119,64.90118056239237,331.98418190574483,-1,-1,-1,0,0,0,0,-1
120,204.27044401762015,331.98418190574483,-1,-1,-1,0,0,0,0,-1
121,0.0,331.98418190574483,-1,-1,-1,0,0,0,0,-1
122,37.520018973733,331.98418190574483,-1,-1,-1,0,0,0,0,-1
123,0.0,331.98418190574483,-1,-1,-1,0,0,0,0,-1
124,173.13119291008417,331.98418190574483,-1,-1,-1,0,0,0,0,-1
125,15.094687282624292,331.98418190574483,-1,-1,-1,0,0,0,0,-1
126,51.87361815316572,331.98418190574483,-1,-1,-1,0,0,0,0,-1
127,39.8720193221376,331.98418190574483,-1,-1,-1,0,0,0,0,-1
128,0.6325899099330706,331.98418190574483,-1,-1,-1,0,0,0,0,-1
129,373.05767152519763,373.05767152519763,1,-1,1,1,-1,-1,1,0
130,128.47422669451817,373.05767152519763,1,-1,1,1,-1,-1,1,0
131,50.62246458914027,373.05767152519763,1,-1,1,1,-1,-1,1,0
132,258.0075901228814,373.05767152519763,1,-1,1,1,-1,-1,1,0
133,34.51006136349566,373.05767152519763,1,-1,1,1,-1,-1,1,0
134,83.6104192885914,373.05767152519763,1,-1,1,1,-1,-1,1,0
135,47.218837669257525,373.05767152519763,1,-1,1,1,-1,-1,1,0
136,0.0,373.05767152519763,1,-1,1,1,-1,-1,1,0
137,38.96567796277395,373.05767152519763,1,-1,1,1,-1,-1,1,0
138,0.0,373.05767152519763,1,-1,1,1,-1,-1,1,0
139,51.18602262380675,373.05767152519763,1,-1,1,1,-1,-1,1,0
140,5.107044198547259,373.05767152519763,1,-1,1,1,-1,-1,1,0
141,247.6804169830196,373.05767152519763,1,-1,1,1,-1,-1,1,0
142,84.4464548298005,373.05767152519763,1,-1,1,1,-1,-1,1,0
143,282.0820111419656,373.05767152519763,1,-1,1,1,-1,-1,1,0
144,50.025015227182294,373.05767152519763,1,-1,1,1,-1,-1,1,0
145,0.0,373.05767152519763,1,-1,1,1,-1,-1,1,0
146,53.99989733373931,373.05767152519763,1,-1,1,1,-1,-1,1,0
147,86.82173377895711,373.05767152519763,1,-1,1,1,-1,-1,1,0
148,215.83145166844957,373.05767152519763,1,-1,1,1,-1,-1,1,0
149,32.87566174780987,373.05767152519763,1,-1,1,1,-1,-1,1,0
150,0.0,373.05767152519763,1,-1,1,1,-1,-1,1,0
151,211.88669660065221,373.05767152519763,1,-1,1,1,-1,-1,1,0
152,118.01512310442877,373.05767152519763,1,-1,1,1,-1,-1,1,0
153,0.0,373.05767152519763,1,-1,1,1,-1,-1,1,0
