eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
0,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
1,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
2,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
3,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
4,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
5,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
6,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
7,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
8,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
9,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
10,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
11,77.75753644551486,77.75753644551486,-1,1,-1,-1,1,0,-1,1
12,80.19758483879313,80.19758483879313,-1,0,-1,-1,1,0,-1,1
13,83.64505437124312,83.64505437124312,-1,0,-1,-1,-1,0,-1,1
14,83.64505437124312,83.64505437124312,-1,0,-1,-1,-1,0,-1,1
15,83.64505437124312,83.64505437124312,-1,0,-1,-1,-1,0,-1,1
16,83.7087480222228,83.7087480222228,-1,-1,-1,-1,-1,0,-1,1
17,83.7087480222228,83.7087480222228,-1,-1,-1,-1,-1,0,-1,1
18,83.7087480222228,83.7087480222228,-1,-1,-1,-1,-1,0,-1,1
19,83.7087480222228,83.7087480222228,-1,-1,-1,-1,-1,0,-1,1
20,83.7087480222228,83.7087480222228,-1,-1,-1,-1,-1,0,-1,1
21,83.7087480222228,83.7087480222228,-1,-1,-1,-1,-1,0,-1,1
22,97.12251047248887,97.12251047248887,-1,-1,-1,-1,-1,0,1,1
23,97.12251047248887,97.12251047248887,-1,-1,-1,-1,-1,0,1,1
24,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
25,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
26,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
27,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
28,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
29,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
30,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
31,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
32,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
33,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
34,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
35,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
36,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
37,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
38,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
39,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
40,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
41,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
42,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
43,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
44,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
45,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
46,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
47,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
48,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
49,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
50,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
51,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
52,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
53,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
54,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
55,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
56,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
57,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
58,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
59,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
60,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
61,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
62,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
63,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
64,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
65,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
66,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
67,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
68,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
69,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
70,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
71,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
72,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
73,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
74,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
75,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
76,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
77,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
78,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
79,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
80,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
81,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
82,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
83,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
84,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
85,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
86,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
87,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
88,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
89,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
90,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
91,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
92,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
93,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
94,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
95,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
96,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
97,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
98,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
99,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
100,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
101,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
102,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
103,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
104,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
105,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
106,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
107,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
108,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
109,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
110,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
111,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
112,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
113,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
114,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
115,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
116,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
117,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
118,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
119,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
120,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
121,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
122,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
123,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
124,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
125,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
126,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
127,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
128,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
129,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
130,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
131,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
132,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
133,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
134,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
135,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
136,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
137,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
138,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
139,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
140,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
141,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
142,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
143,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
144,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
145,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
146,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
147,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
148,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
149,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
150,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
151,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
152,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
153,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
154,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
155,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
156,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
157,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
158,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
159,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
160,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
161,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
162,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
163,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
164,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
165,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
166,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
167,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
168,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
169,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
170,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
171,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
172,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
173,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
174,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
175,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
176,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
177,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
178,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
179,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
180,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
181,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
182,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
183,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
184,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
185,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
186,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
187,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
188,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
189,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
190,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
191,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
192,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
193,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
194,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
195,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
196,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
197,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
198,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
199,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
200,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
201,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
202,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
203,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
204,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
205,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
206,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
207,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
208,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
209,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
210,97.23889719995131,97.23889719995131,0,-1,-1,-1,-1,0,1,1
