eval,score,best
0,17.609134668785327,17.609134668785327
1,17.609134668785327,17.609134668785327
2,17.609134668785327,17.609134668785327
3,17.609134668785327,17.609134668785327
4,34.7162311068814,34.7162311068814
5,34.7162311068814,34.7162311068814
6,34.7162311068814,34.7162311068814
7,34.7162311068814,34.7162311068814
8,34.7162311068814,34.7162311068814
9,271.06276188064436,271.06276188064436
10,271.06276188064436,271.06276188064436
11,271.06276188064436,271.06276188064436
12,271.06276188064436,271.06276188064436
13,271.06276188064436,271.06276188064436
14,271.06276188064436,271.06276188064436
15,271.06276188064436,271.06276188064436
16,271.06276188064436,271.06276188064436
17,271.06276188064436,271.06276188064436
18,271.06276188064436,271.06276188064436
19,271.06276188064436,271.06276188064436
20,271.06276188064436,271.06276188064436
21,271.06276188064436,271.06276188064436
22,271.06276188064436,271.06276188064436
23,271.06276188064436,271.06276188064436
24,271.06276188064436,271.06276188064436
25,271.06276188064436,271.06276188064436
26,271.06276188064436,271.06276188064436
27,271.06276188064436,271.06276188064436
28,271.06276188064436,271.06276188064436
29,271.06276188064436,271.06276188064436
30,271.06276188064436,271.06276188064436
31,271.06276188064436,271.06276188064436
32,271.06276188064436,271.06276188064436
33,271.06276188064436,271.06276188064436
34,271.06276188064436,271.06276188064436
35,271.06276188064436,271.06276188064436
36,271.06276188064436,271.06276188064436
37,271.06276188064436,271.06276188064436
38,271.06276188064436,271.06276188064436
39,271.06276188064436,271.06276188064436
40,271.06276188064436,271.06276188064436
41,271.06276188064436,271.06276188064436
42,271.06276188064436,271.06276188064436
43,271.06276188064436,271.06276188064436
44,271.06276188064436,271.06276188064436
45,271.06276188064436,271.06276188064436
46,271.06276188064436,271.06276188064436
47,271.06276188064436,271.06276188064436
48,271.06276188064436,271.06276188064436
49,300.9394778734594,300.9394778734594
50,300.9394778734594,300.9394778734594
51,300.9394778734594,300.9394778734594
52,307.0264119452083,307.0264119452083
53,307.0264119452083,307.0264119452083
54,307.0264119452083,307.0264119452083
55,307.0264119452083,307.0264119452083
56,307.0264119452083,307.0264119452083
57,307.0264119452083,307.0264119452083
58,307.0264119452083,307.0264119452083
59,307.0264119452083,307.0264119452083
60,307.0264119452083,307.0264119452083
61,307.0264119452083,307.0264119452083
62,307.0264119452083,307.0264119452083
63,307.0264119452083,307.0264119452083
64,307.0264119452083,307.0264119452083
65,307.0264119452083,307.0264119452083
66,307.0264119452083,307.0264119452083
67,307.0264119452083,307.0264119452083
68,307.0264119452083,307.0264119452083
69,307.0264119452083,307.0264119452083
70,307.0264119452083,307.0264119452083
71,307.0264119452083,307.0264119452083
72,307.0264119452083,307.0264119452083
73,307.0264119452083,307.0264119452083
74,307.0264119452083,307.0264119452083
75,307.0264119452083,307.0264119452083
76,307.0264119452083,307.0264119452083
77,307.0264119452083,307.0264119452083
78,307.0264119452083,307.0264119452083
79,307.0264119452083,307.0264119452083
80,307.0264119452083,307.0264119452083
81,307.0264119452083,307.0264119452083
82,307.0264119452083,307.0264119452083
83,307.0264119452083,307.0264119452083
84,307.0264119452083,307.0264119452083
85,307.0264119452083,307.0264119452083
86,307.0264119452083,307.0264119452083
87,307.0264119452083,307.0264119452083
88,307.0264119452083,307.0264119452083
89,307.0264119452083,307.0264119452083
90,307.0264119452083,307.0264119452083
91,307.0264119452083,307.0264119452083
92,307.0264119452083,307.0264119452083
93,307.0264119452083,307.0264119452083
94,307.0264119452083,307.0264119452083
95,307.0264119452083,307.0264119452083
96,307.0264119452083,307.0264119452083
97,307.0264119452083,307.0264119452083
98,307.0264119452083,307.0264119452083
99,307.0264119452083,307.0264119452083
100,307.0264119452083,307.0264119452083
101,307.0264119452083,307.0264119452083
102,307.0264119452083,307.0264119452083
103,307.0264119452083,307.0264119452083
104,307.0264119452083,307.0264119452083
105,307.0264119452083,307.0264119452083
106,307.0264119452083,307.0264119452083
107,307.0264119452083,307.0264119452083
108,307.0264119452083,307.0264119452083
109,307.0264119452083,307.0264119452083
110,307.0264119452083,307.0264119452083
111,307.0264119452083,307.0264119452083
112,307.0264119452083,307.0264119452083
113,307.0264119452083,307.0264119452083
114,307.0264119452083,307.0264119452083
115,307.0264119452083,307.0264119452083
116,307.0264119452083,307.0264119452083
117,307.0264119452083,307.0264119452083
118,307.0264119452083,307.0264119452083
119,307.0264119452083,307.0264119452083
120,307.0264119452083,307.0264119452083
121,307.0264119452083,307.0264119452083
122,307.0264119452083,307.0264119452083
123,307.0264119452083,307.0264119452083
124,307.0264119452083,307.0264119452083
125,307.0264119452083,307.0264119452083
126,307.0264119452083,307.0264119452083
127,307.0264119452083,307.0264119452083
128,307.0264119452083,307.0264119452083
129,307.0264119452083,307.0264119452083
130,307.0264119452083,307.0264119452083
131,307.0264119452083,307.0264119452083
132,307.0264119452083,307.0264119452083
133,307.0264119452083,307.0264119452083
134,307.0264119452083,307.0264119452083
135,307.0264119452083,307.0264119452083
136,307.0264119452083,307.0264119452083
137,307.0264119452083,307.0264119452083
138,307.0264119452083,307.0264119452083
139,307.0264119452083,307.0264119452083
140,307.0264119452083,307.0264119452083
141,307.0264119452083,307.0264119452083
142,307.0264119452083,307.0264119452083
143,307.0264119452083,307.0264119452083
144,307.0264119452083,307.0264119452083
145,307.0264119452083,307.0264119452083
146,307.0264119452083,307.0264119452083
147,307.0264119452083,307.0264119452083
148,307.0264119452083,307.0264119452083
149,307.0264119452083,307.0264119452083
150,307.0264119452083,307.0264119452083
151,307.0264119452083,307.0264119452083
152,307.0264119452083,307.0264119452083
153,307.0264119452083,307.0264119452083
154,307.0264119452083,307.0264119452083
155,307.0264119452083,307.0264119452083
156,307.0264119452083,307.0264119452083
157,307.0264119452083,307.0264119452083
158,307.0264119452083,307.0264119452083
159,307.0264119452083,307.0264119452083
160,307.0264119452083,307.0264119452083
161,307.0264119452083,307.0264119452083
162,307.0264119452083,307.0264119452083
163,307.0264119452083,307.0264119452083
164,307.0264119452083,307.0264119452083
165,307.0264119452083,307.0264119452083
166,307.0264119452083,307.0264119452083
167,307.0264119452083,307.0264119452083
168,307.0264119452083,307.0264119452083
169,307.0264119452083,307.0264119452083
170,307.0264119452083,307.0264119452083
171,307.0264119452083,307.0264119452083
172,307.0264119452083,307.0264119452083
173,307.0264119452083,307.0264119452083
174,307.0264119452083,307.0264119452083
175,307.0264119452083,307.0264119452083
176,307.0264119452083,307.0264119452083
177,307.0264119452083,307.0264119452083
178,307.0264119452083,307.0264119452083
179,307.0264119452083,307.0264119452083
180,307.0264119452083,307.0264119452083
181,307.0264119452083,307.0264119452083
182,307.0264119452083,307.0264119452083
183,307.0264119452083,307.0264119452083
184,307.0264119452083,307.0264119452083
185,307.0264119452083,307.0264119452083
186,307.0264119452083,307.0264119452083
187,307.0264119452083,307.0264119452083
188,307.0264119452083,307.0264119452083
189,307.0264119452083,307.0264119452083
190,307.0264119452083,307.0264119452083
191,307.0264119452083,307.0264119452083
192,307.0264119452083,307.0264119452083
193,307.0264119452083,307.0264119452083
194,307.0264119452083,307.0264119452083
195,307.0264119452083,307.0264119452083
196,307.0264119452083,307.0264119452083
197,307.0264119452083,307.0264119452083
198,307.0264119452083,307.0264119452083
199,307.0264119452083,307.0264119452083
200,307.0264119452083,307.0264119452083
201,307.0264119452083,307.0264119452083
202,307.0264119452083,307.0264119452083
203,307.0264119452083,307.0264119452083
204,307.0264119452083,307.0264119452083
205,307.0264119452083,307.0264119452083
206,307.0264119452083,307.0264119452083
207,307.0264119452083,307.0264119452083
208,307.0264119452083,307.0264119452083
209,307.0264119452083,307.0264119452083
210,307.0264119452083,307.0264119452083
211,307.0264119452083,307.0264119452083
212,307.0264119452083,307.0264119452083
213,307.0264119452083,307.0264119452083
214,307.0264119452083,307.0264119452083
215,307.0264119452083,307.0264119452083
216,307.0264119452083,307.0264119452083
217,307.0264119452083,307.0264119452083
