eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
0,113.0854380832249,113.0854380832249,1,0,-1,-1,-1,0,1,-1
1,215.4855490666345,215.4855490666345,1,-1,1,0,1,1,-1,0
2,33.57138891253563,215.4855490666345,1,-1,1,0,1,1,-1,0
3,223.8796754199355,223.8796754199355,-1,0,1,1,0,1,-1,1
4,0.0,223.8796754199355,-1,0,1,1,0,1,-1,1
5,0.0,223.8796754199355,-1,0,1,1,0,1,-1,1
6,7.656289115806442,223.8796754199355,-1,0,1,1,0,1,-1,1
7,0.0,223.8796754199355,-1,0,1,1,0,1,-1,1
8,270.1204852412933,270.1204852412933,-1,1,1,0,1,0,-1,1
9,157.73057839349818,270.1204852412933,-1,1,1,0,1,0,-1,1
10,53.416749291298004,270.1204852412933,-1,1,1,0,1,0,-1,1
11,0.0,270.1204852412933,-1,1,1,0,1,0,-1,1
12,284.1532712836391,284.1532712836391,1,1,1,0,0,1,0,0
13,43.98054117235917,284.1532712836391,1,1,1,0,0,1,0,0
14,44.221658584248814,284.1532712836391,1,1,1,0,0,1,0,0
15,271.25393506004224,284.1532712836391,1,1,1,0,0,1,0,0
16,45.96437768240937,284.1532712836391,1,1,1,0,0,1,0,0
17,227.67694703079647,284.1532712836391,1,1,1,0,0,1,0,0
18,306.1766018789477,306.1766018789477,-1,-1,-1,0,1,1,-1,0
19,0.0,306.1766018789477,-1,-1,-1,0,1,1,-1,0
20,55.8397073990883,306.1766018789477,-1,-1,-1,0,1,1,-1,0
21,75.54337866916168,306.1766018789477,-1,-1,-1,0,1,1,-1,0
22,367.8255133426993,367.8255133426993,-1,0,1,1,-1,1,0,0
23,189.3217044317942,367.8255133426993,-1,0,1,1,-1,1,0,0
24,534.5971917059946,534.5971917059946,1,-1,1,0,-1,1,0,0
25,65.49064861665974,534.5971917059946,1,-1,1,0,-1,1,0,0
26,78.46981265663385,534.5971917059946,1,-1,1,0,-1,1,0,0
27,160.5540453283831,534.5971917059946,1,-1,1,0,-1,1,0,0
28,72.43443142774522,534.5971917059946,1,-1,1,0,-1,1,0,0
29,214.4776993850723,534.5971917059946,1,-1,1,0,-1,1,0,0
30,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
31,51.400717036111544,534.5971917059946,1,-1,1,0,-1,1,0,0
32,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
33,49.67757282362763,534.5971917059946,1,-1,1,0,-1,1,0,0
34,1.764330900124028,534.5971917059946,1,-1,1,0,-1,1,0,0
35,59.39971270740011,534.5971917059946,1,-1,1,0,-1,1,0,0
36,8.074062275848476,534.5971917059946,1,-1,1,0,-1,1,0,0
37,220.40531688466575,534.5971917059946,1,-1,1,0,-1,1,0,0
38,33.70485168602456,534.5971917059946,1,-1,1,0,-1,1,0,0
39,32.993766353596484,534.5971917059946,1,-1,1,0,-1,1,0,0
40,309.3169803533905,534.5971917059946,1,-1,1,0,-1,1,0,0
41,63.24543078229691,534.5971917059946,1,-1,1,0,-1,1,0,0
42,193.59514323335455,534.5971917059946,1,-1,1,0,-1,1,0,0
43,46.112603291569634,534.5971917059946,1,-1,1,0,-1,1,0,0
44,4.787590655837789,534.5971917059946,1,-1,1,0,-1,1,0,0
45,53.96750960866709,534.5971917059946,1,-1,1,0,-1,1,0,0
46,227.35143994539624,534.5971917059946,1,-1,1,0,-1,1,0,0
47,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
48,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
49,35.17026760819791,534.5971917059946,1,-1,1,0,-1,1,0,0
50,318.80185650428245,534.5971917059946,1,-1,1,0,-1,1,0,0
51,19.390651735912794,534.5971917059946,1,-1,1,0,-1,1,0,0
52,130.85038612398665,534.5971917059946,1,-1,1,0,-1,1,0,0
53,56.35796754072678,534.5971917059946,1,-1,1,0,-1,1,0,0
54,77.45361928948617,534.5971917059946,1,-1,1,0,-1,1,0,0
55,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
56,58.96042868460499,534.5971917059946,1,-1,1,0,-1,1,0,0
57,230.08178479399555,534.5971917059946,1,-1,1,0,-1,1,0,0
58,236.99451996964535,534.5971917059946,1,-1,1,0,-1,1,0,0
59,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
60,4.967750265380968,534.5971917059946,1,-1,1,0,-1,1,0,0
61,105.9289057723411,534.5971917059946,1,-1,1,0,-1,1,0,0
62,263.19561470754263,534.5971917059946,1,-1,1,0,-1,1,0,0
63,236.56525254801267,534.5971917059946,1,-1,1,0,-1,1,0,0
64,73.21896370718704,534.5971917059946,1,-1,1,0,-1,1,0,0
65,6.755539043738467,534.5971917059946,1,-1,1,0,-1,1,0,0
66,198.94052626017123,534.5971917059946,1,-1,1,0,-1,1,0,0
67,1.1574590721387614,534.5971917059946,1,-1,1,0,-1,1,0,0
68,204.0040841401905,534.5971917059946,1,-1,1,0,-1,1,0,0
69,48.27550693238459,534.5971917059946,1,-1,1,0,-1,1,0,0
70,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
71,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
72,326.46782904016436,534.5971917059946,1,-1,1,0,-1,1,0,0
73,222.99178481198845,534.5971917059946,1,-1,1,0,-1,1,0,0
74,87.88196582158311,534.5971917059946,1,-1,1,0,-1,1,0,0
75,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
76,412.93096727223843,534.5971917059946,1,-1,1,0,-1,1,0,0
77,35.154034091160156,534.5971917059946,1,-1,1,0,-1,1,0,0
78,205.55316885147602,534.5971917059946,1,-1,1,0,-1,1,0,0
79,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
80,6.554379714938558,534.5971917059946,1,-1,1,0,-1,1,0,0
81,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
82,43.625976945280414,534.5971917059946,1,-1,1,0,-1,1,0,0
83,35.836960304999906,534.5971917059946,1,-1,1,0,-1,1,0,0
84,152.587093431003,534.5971917059946,1,-1,1,0,-1,1,0,0
85,57.84165480454898,534.5971917059946,1,-1,1,0,-1,1,0,0
86,0.0,534.5971917059946,1,-1,1,0,-1,1,0,0
