eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
0,0.0,0.0,0,0,0,0,0,-1,-1,1
1,0.0,0.0,0,0,0,0,0,-1,-1,1
2,0.0,0.0,0,0,0,0,0,-1,-1,1
3,0.0,0.0,0,0,0,0,0,-1,-1,1
4,7.409413573801032,7.409413573801032,1,0,0,0,0,-1,-1,1
5,7.409413573801032,7.409413573801032,1,0,0,0,0,-1,-1,1
6,7.409413573801032,7.409413573801032,1,0,0,0,0,-1,-1,1
7,7.409413573801032,7.409413573801032,1,0,0,0,0,-1,-1,1
8,7.409413573801032,7.409413573801032,1,0,0,0,0,-1,-1,1
9,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
10,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
11,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
12,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
13,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
14,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
15,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
16,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
17,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
18,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
19,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
20,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
21,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
22,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
23,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
24,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
25,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
26,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
27,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
28,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
29,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
30,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
31,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
32,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
33,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
34,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
35,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
36,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
37,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
38,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
39,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
40,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
41,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
42,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
43,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
44,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
45,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
46,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
47,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
48,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
49,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
50,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
51,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
52,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
53,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
54,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
55,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
56,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
57,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
58,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
59,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
60,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
61,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
62,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
63,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
64,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
65,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
66,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
67,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
68,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
69,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
70,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
71,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
72,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
73,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
74,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
75,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
76,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
77,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
78,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
79,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
80,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
81,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
82,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
83,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
84,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
85,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
86,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
87,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
88,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
89,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
90,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
91,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
92,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
93,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
94,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
95,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
96,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
97,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
98,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
99,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
100,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
101,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
102,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
103,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
104,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
105,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
106,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
107,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
108,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
109,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
110,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
111,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
112,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
113,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
114,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
115,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
116,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
117,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
118,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
119,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
120,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
121,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
122,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
123,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
124,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
125,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
126,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
127,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
128,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
129,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
130,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
131,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
132,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
133,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
134,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
135,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
136,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
137,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
138,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
139,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
140,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
141,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
142,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
143,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
144,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
145,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
146,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
147,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
148,80.93125050577832,80.93125050577832,1,0,0,0,0,1,-1,1
